Daily Date,Closing Price - VWAP (GH¢),Simple Returns
06/11/2019,0.7,0.0
05/11/2019,0.7,0.0
04/11/2019,0.7,0.0
01/11/2019,0.7,0.0
31/10/2019,0.7,0.0
30/10/2019,0.7,0.0
29/10/2019,0.7,0.0
28/10/2019,0.7,0.0
25/10/2019,0.7,0.0
24/10/2019,0.7,0.0
23/10/2019,0.7,0.0
22/10/2019,0.7,0.0
21/10/2019,0.7,0.0
18/10/2019,0.7,0.0
17/10/2019,0.7,0.0
16/10/2019,0.7,0.0
15/10/2019,0.7,0.0
14/10/2019,0.7,0.0
11/10/2019,0.7,0.0
10/10/2019,0.7,0.0
09/10/2019,0.7,0.0
08/10/2019,0.7,0.0
07/10/2019,0.71,0.014285714285714235
04/10/2019,0.7,-0.014084507042253502
03/10/2019,0.7,0.0
02/10/2019,0.69,-0.014285714285714346
01/10/2019,0.69,0.0
30/09/2019,0.69,0.0
27/09/2019,0.7,0.01449275362318847
26/09/2019,0.7,0.0
25/09/2019,0.7,0.0
24/09/2019,0.7,0.0
20/09/2019,0.7,0.0
19/09/2019,0.7,0.0
18/09/2019,0.71,0.014285714285714235
17/09/2019,0.71,0.0
16/09/2019,0.7,-0.014084507042253502
13/09/2019,0.7,0.0
12/09/2019,0.71,0.014285714285714235
11/09/2019,0.7,-0.014084507042253502
10/09/2019,0.7,0.0
09/09/2019,0.7,0.0
06/09/2019,0.7,0.0
05/09/2019,0.7,0.0
04/09/2019,0.72,0.028571428571428692
03/09/2019,0.7,-0.02777777777777779
02/09/2019,0.7,0.0
30/08/2019,0.72,0.028571428571428692
29/08/2019,0.72,0.0
28/08/2019,0.73,0.01388888888888884
27/08/2019,0.72,-0.013698630136986356
26/08/2019,0.7,-0.02777777777777779
26/08/2019,0.7,0.0
23/08/2019,0.7,0.0
22/08/2019,0.7,0.0
21/08/2019,0.7,0.0
20/08/2019,0.7,0.0
19/08/2019,0.7,0.0
16/08/2019,0.71,0.014285714285714235
15/08/2019,0.73,0.028169014084507005
14/08/2019,0.73,0.0
13/08/2019,0.73,0.0
09/08/2019,0.7,-0.04109589041095896
08/08/2019,0.7,0.0
07/08/2019,0.7,0.0
06/08/2019,0.7,0.0
02/08/2019,0.71,0.014285714285714235
01/08/2019,0.72,0.014084507042253502
31/07/2019,0.72,0.0
30/07/2019,0.7,-0.02777777777777779
29/07/2019,0.7,0.0
26/07/2019,0.71,0.014285714285714235
25/07/2019,0.7,-0.014084507042253502
24/07/2019,0.72,0.028571428571428692
23/07/2019,0.72,0.0
22/07/2019,0.71,-0.01388888888888895
19/07/2019,0.72,0.014084507042253502
18/07/2019,0.7,-0.02777777777777779
17/07/2019,0.7,0.0
16/07/2019,0.7,0.0
15/07/2019,0.7,0.0
12/07/2019,0.71,0.014285714285714235
11/07/2019,0.72,0.014084507042253502
10/07/2019,0.71,-0.01388888888888895
09/07/2019,0.7,-0.014084507042253502
08/07/2019,0.7,0.0
05/07/2019,0.7,0.0
04/07/2019,0.7,0.0
03/07/2019,0.7,0.0
02/07/2019,0.7,0.0
01/07/2019,0.71,0.014285714285714235
28/06/2019,0.73,0.028169014084507005
27/06/2019,0.73,0.0
26/06/2019,0.73,0.0
25/06/2019,0.73,0.0
24/06/2019,0.72,-0.013698630136986356
21/06/2019,0.72,0.0
20/06/2019,0.72,0.0
19/06/2019,0.72,0.0
18/06/2019,0.72,0.0
17/06/2019,0.72,0.0
14/06/2019,0.72,0.0
13/06/2019,0.73,0.01388888888888884
12/06/2019,0.73,0.0
11/06/2019,0.73,0.0
10/06/2019,0.72,-0.013698630136986356
07/06/2019,0.73,0.01388888888888884
