Daily Date,Share Code,Total Value Traded (GH¢)
7/4/2021,CAL,"29,696.00"
6/4/2021,CAL,"47,641.80"
1/4/2021,CAL,"22,417.92"
31/03/2021,CAL,"45,376.00"
30/03/2021,CAL,"91,360.64"
29/03/2021,CAL,"117,250.00"
26/03/2021,CAL,"45,739.00"
25/03/2021,CAL,"8,945.40"
24/03/2021,CAL,"3,024.64"
23/03/2021,CAL,"54,482.96"
22/03/2021,CAL,"132,606.80"
19/03/2021,CAL,"7,169.92"
18/03/2021,CAL,"341,988.72"
17/03/2021,CAL,"92,164.80"
15/03/2021,CAL,"4,564.50"
12/3/2021,CAL,"14,870.25"
11/3/2021,CAL,"1,500.00"
9/3/2021,CAL,0
5/3/2021,CAL,0
4/3/2021,CAL,0
3/3/2021,CAL,"26,415.22"
2/3/2021,CAL,"1,229.60"
1/3/2021,CAL,0
26/02/2021,CAL,0
25/02/2021,CAL,"4,628.80"
24/02/2021,CAL,0
23/02/2021,CAL,976
22/02/2021,CAL,"111,508.80"
19/02/2021,CAL,371.2
18/02/2021,CAL,"2,800.00"
17/02/2021,CAL,375
16/02/2021,CAL,"376,698.57"
15/02/2021,CAL,"8,244.99"
12/2/2021,CAL,"48,803.02"
11/2/2021,CAL,456.8
10/2/2021,CAL,"6,000.00"
9/2/2021,CAL,"3,123.89"
8/2/2021,CAL,"1,150.38"
5/2/2021,CAL,920.92
3/2/2021,CAL,"2,785.86"
2/2/2021,CAL,"2,310.00"
1/2/2021,CAL,0
29/01/2021,CAL,0
28/01/2021,CAL,"3,773.04"
27/01/2021,CAL,"6,912.00"
26/01/2021,CAL,"7,077.00"
25/01/2021,CAL,"42,020.32"
22/01/2021,CAL,"8,001.24"
21/01/2021,CAL,"41,210.25"
20/01/2021,CAL,0
19/01/2021,CAL,0
18/01/2021,CAL,"1,533.18"
15/01/2021,CAL,0
14/01/2021,CAL,"3,125.70"
13/01/2021,CAL,"11,792.10"
12/1/2021,CAL,"9,188.73"
11/1/2021,CAL,"7,024.20"
8/1/2021,CAL,"105,777.00"
6/1/2021,CAL,"8,053.68"
5/1/2021,CAL,"279,760.50"
4/1/2021,CAL,"1,574.58"
31/12/2020,CAL,0
30/12/2020,CAL,"12,351.00"
29/12/2020,CAL,345
24/12/2020,CAL,0
23/12/2020,CAL,897
22/12/2020,CAL,"8,832.00"
21/12/2020,CAL,"12,213.00"
18/12/2020,CAL,"1,104.00"
17/12/2020,CAL,0
16/12/2020,CAL,0
15/12/2020,CAL,0
14/12/2020,CAL,"18,216.00"
11/12/2020,CAL,0
10/12/2020,CAL,"3,174.00"
9/12/2020,CAL,"1,035.00"
8/12/2020,CAL,"1,380.00"
4/12/2020,CAL,759
3/12/2020,CAL,"2,760.00"
2/12/2020,CAL,0
1/12/2020,CAL,"3,519.00"
30/11/2020,CAL,"2,415.00"
27/11/2020,CAL,"5,658.00"
26/11/2020,CAL,"2,691.00"
25/11/2020,CAL,210
24/11/2020,CAL,0
