Daily Date,Share Code,Total Value Traded (GH¢)
8/2/2022,ACCESS,12.9
7/2/2022,ACCESS,"2,580.00"
4/2/2022,ACCESS,0
3/2/2022,ACCESS,0
2/2/2022,ACCESS,0
1/2/2022,ACCESS,0
31/01/2022,ACCESS,"4,859.25"
28/01/2022,ACCESS,855
27/01/2022,ACCESS,"2,850.00"
26/01/2022,ACCESS,0
25/01/2022,ACCESS,0
24/01/2022,ACCESS,0
21/01/2022,ACCESS,0
20/01/2022,ACCESS,0
19/01/2022,ACCESS,94.5
18/01/2022,ACCESS,0
17/01/2022,ACCESS,0
14/01/2022,ACCESS,0
13/01/2022,ACCESS,0
12/1/2022,ACCESS,0
11/1/2022,ACCESS,504
10/1/2022,ACCESS,548.1
6/1/2022,ACCESS,0
5/1/2022,ACCESS,0
4/1/2022,ACCESS,0
31/12/2021,ACCESS,0
30/12/2021,ACCESS,"6,394.50"
29/12/2021,ACCESS,0
24/12/2021,ACCESS,0
23/12/2021,ACCESS,0
22/12/2021,ACCESS,0
21/12/2021,ACCESS,0
20/12/2021,ACCESS,"35,380.80"
17/12/2021,ACCESS,0
16/12/2021,ACCESS,0
15/12/2021,ACCESS,"1,115.10"
14/12/2021,ACCESS,0
13/12/2021,ACCESS,945
10/12/2021,ACCESS,0
9/12/2021,ACCESS,0
8/12/2021,ACCESS,0
7/12/2021,ACCESS,0
6/12/2021,ACCESS,0
2/12/2021,ACCESS,0
1/12/2021,ACCESS,0
30/11/2021,ACCESS,0
29/11/2021,ACCESS,0
26/11/2021,ACCESS,0
25/11/2021,ACCESS,0
24/11/2021,ACCESS,563.85
23/11/2021,ACCESS,0
22/11/2021,ACCESS,0
18/11/2021,ACCESS,0
17/11/2021,ACCESS,0
16/11/2021,ACCESS,176.4
15/11/2021,ACCESS,497.7
12/11/2021,ACCESS,0
11/11/2021,ACCESS,"1,953.00"
10/11/2021,ACCESS,"27,972.00"
9/11/2021,ACCESS,"6,180.79"
8/11/2021,ACCESS,0
5/11/2021,ACCESS,0
4/11/2021,ACCESS,0
3/11/2021,ACCESS,0
2/11/2021,ACCESS,0
1/11/2021,ACCESS,"2,443.00"
29/10/2021,ACCESS,0
28/10/2021,ACCESS,0
27/10/2021,ACCESS,0
26/10/2021,ACCESS,0
25/10/2021,ACCESS,0
22/10/2021,ACCESS,0
21/10/2021,ACCESS,0
20/10/2021,ACCESS,0
19/10/2021,ACCESS,0
18/10/2021,ACCESS,0
15/10/2021,ACCESS,0
14/10/2021,ACCESS,0
13/10/2021,ACCESS,680.55
12/10/2021,ACCESS,0
11/10/2021,ACCESS,3.49
8/10/2021,ACCESS,0
7/10/2021,ACCESS,0
6/10/2021,ACCESS,0
5/10/2021,ACCESS,34.9
4/10/2021,ACCESS,0
1/10/2021,ACCESS,"52,404.00"
30/09/2021,ACCESS,0
29/09/2021,ACCESS,349
28/09/2021,ACCESS,0
27/09/2021,ACCESS,0
24/09/2021,ACCESS,0
23/09/2021,ACCESS,0
22/09/2021,ACCESS,0
20/09/2021,ACCESS,"19,195.00"
16/09/2021,ACCESS,0
15/09/2021,ACCESS,0
14/09/2021,ACCESS,0
13/09/2021,ACCESS,0
10/9/2021,ACCESS,0
9/9/2021,ACCESS,0
8/9/2021,ACCESS,"3,490.00"
7/9/2021,ACCESS,0
6/9/2021,ACCESS,0
3/9/2021,ACCESS,0
2/9/2021,ACCESS,0
1/9/2021,ACCESS,0
31/08/2021,ACCESS,0
30/08/2021,ACCESS,69.8
27/08/2021,ACCESS,0
26/08/2021,ACCESS,0
25/08/2021,ACCESS,0
24/08/2021,ACCESS,0
23/08/2021,ACCESS,0
20/08/2021,ACCESS,0
19/08/2021,ACCESS,0
18/08/2021,ACCESS,0
17/08/2021,ACCESS,349
16/08/2021,ACCESS,0
13/08/2021,ACCESS,0
12/8/2021,ACCESS,0
11/8/2021,ACCESS,0
10/8/2021,ACCESS,0
9/8/2021,ACCESS,69.8
6/8/2021,ACCESS,0
5/8/2021,ACCESS,0
3/8/2021,ACCESS,0
2/8/2021,ACCESS,0
30/07/2021,ACCESS,"34,900.00"
29/07/2021,ACCESS,0
28/07/2021,ACCESS,823.64
27/07/2021,ACCESS,0
26/07/2021,ACCESS,247.79
23/07/2021,ACCESS,0
22/07/2021,ACCESS,"12,235.94"
21/07/2021,ACCESS,0
19/07/2021,ACCESS,0
16/07/2021,ACCESS,0
15/07/2021,ACCESS,0
14/07/2021,ACCESS,0
13/07/2021,ACCESS,0
12/7/2021,ACCESS,0
9/7/2021,ACCESS,0
8/7/2021,ACCESS,0
7/7/2021,ACCESS,0
6/7/2021,ACCESS,0
5/7/2021,ACCESS,0
2/7/2021,ACCESS,349
1/7/2021,ACCESS,0
30/06/2021,ACCESS,0
29/06/2021,ACCESS,0
28/06/2021,ACCESS,0
25/06/2021,ACCESS,0
24/06/2021,ACCESS,0
23/06/2021,ACCESS,0
22/06/2021,ACCESS,872.5
21/06/2021,ACCESS,0
18/06/2021,ACCESS,0
17/06/2021,ACCESS,0
16/06/2021,ACCESS,0
15/06/2021,ACCESS,600.28
14/06/2021,ACCESS,"9,191.72"
11/6/2021,ACCESS,0
10/6/2021,ACCESS,0
9/6/2021,ACCESS,0
8/6/2021,ACCESS,85.14
4/6/2021,ACCESS,0
3/6/2021,ACCESS,0
2/6/2021,ACCESS,0
1/6/2021,ACCESS,0
31/05/2021,ACCESS,0
28/05/2021,ACCESS,180
27/05/2021,ACCESS,0
26/05/2021,ACCESS,0
25/05/2021,ACCESS,0
24/05/2021,ACCESS,0
21/05/2021,ACCESS,0
20/05/2021,ACCESS,0
19/05/2021,ACCESS,0
18/05/2021,ACCESS,0
17/05/2021,ACCESS,0
14/05/2021,ACCESS,0
12/5/2021,ACCESS,0
11/5/2021,ACCESS,0
10/5/2021,ACCESS,0
7/5/2021,ACCESS,0
6/5/2021,ACCESS,0
5/5/2021,ACCESS,0
4/5/2021,ACCESS,0
30/04/2021,ACCESS,0
29/04/2021,ACCESS,0
28/04/2021,ACCESS,0
27/04/2021,ACCESS,0
26/04/2021,ACCESS,0
23/04/2021,ACCESS,0
22/04/2021,ACCESS,0
21/04/2021,ACCESS,0
20/04/2021,ACCESS,0
19/04/2021,ACCESS,0
16/04/2021,ACCESS,0
15/04/2021,ACCESS,0
14/04/2021,ACCESS,0
13/04/2021,ACCESS,0
12/4/2021,ACCESS,0
9/4/2021,ACCESS,0
8/4/2021,ACCESS,0
7/4/2021,ACCESS,0
6/4/2021,ACCESS,0
1/4/2021,ACCESS,0
31/03/2021,ACCESS,0
30/03/2021,ACCESS,0
29/03/2021,ACCESS,0
26/03/2021,ACCESS,0
25/03/2021,ACCESS,0
24/03/2021,ACCESS,0
23/03/2021,ACCESS,0
22/03/2021,ACCESS,0
19/03/2021,ACCESS,0
18/03/2021,ACCESS,0
17/03/2021,ACCESS,0
15/03/2021,ACCESS,0
12/3/2021,ACCESS,0
11/3/2021,ACCESS,0
9/3/2021,ACCESS,0
5/3/2021,ACCESS,0
4/3/2021,ACCESS,0
3/3/2021,ACCESS,0
2/3/2021,ACCESS,0
1/3/2021,ACCESS,0
26/02/2021,ACCESS,0
25/02/2021,ACCESS,0
24/02/2021,ACCESS,0
23/02/2021,ACCESS,0
22/02/2021,ACCESS,0
19/02/2021,ACCESS,0
18/02/2021,ACCESS,0
17/02/2021,ACCESS,0
16/02/2021,ACCESS,0
15/02/2021,ACCESS,0
12/2/2021,ACCESS,0
11/2/2021,ACCESS,0
10/2/2021,ACCESS,0
9/2/2021,ACCESS,0
8/2/2021,ACCESS,0
5/2/2021,ACCESS,0
3/2/2021,ACCESS,0
2/2/2021,ACCESS,0
1/2/2021,ACCESS,0
29/01/2021,ACCESS,0
28/01/2021,ACCESS,0
27/01/2021,ACCESS,0
26/01/2021,ACCESS,0
25/01/2021,ACCESS,0
22/01/2021,ACCESS,0
21/01/2021,ACCESS,0
20/01/2021,ACCESS,0
19/01/2021,ACCESS,0
18/01/2021,ACCESS,"46,440.00"
15/01/2021,ACCESS,0
14/01/2021,ACCESS,0
13/01/2021,ACCESS,0
12/1/2021,ACCESS,239.25
11/1/2021,ACCESS,0
8/1/2021,ACCESS,0
6/1/2021,ACCESS,0
5/1/2021,ACCESS,0
4/1/2021,ACCESS,0
31/12/2020,ACCESS,0
30/12/2020,ACCESS,0
29/12/2020,ACCESS,0
24/12/2020,ACCESS,0
23/12/2020,ACCESS,0
22/12/2020,ACCESS,0
21/12/2020,ACCESS,0
18/12/2020,ACCESS,0
17/12/2020,ACCESS,0
16/12/2020,ACCESS,0
15/12/2020,ACCESS,0
14/12/2020,ACCESS,0
11/12/2020,ACCESS,0
10/12/2020,ACCESS,0
9/12/2020,ACCESS,0
8/12/2020,ACCESS,0
4/12/2020,ACCESS,0
3/12/2020,ACCESS,0
2/12/2020,ACCESS,0
1/12/2020,ACCESS,0
30/11/2020,ACCESS,0
27/11/2020,ACCESS,0
26/11/2020,ACCESS,0
25/11/2020,ACCESS,0
24/11/2020,ACCESS,0
23/11/2020,ACCESS,0
20/11/2020,ACCESS,0
19/11/2020,ACCESS,0
18/11/2020,ACCESS,0
17/11/2020,ACCESS,0
16/11/2020,ACCESS,0
13/11/2020,ACCESS,0
12/11/2020,ACCESS,0
11/11/2020,ACCESS,0
10/11/2020,ACCESS,0
9/11/2020,ACCESS,0
6/11/2020,ACCESS,0
5/11/2020,ACCESS,0
4/11/2020,ACCESS,0
3/11/2020,ACCESS,0
2/11/2020,ACCESS,0
30/10/2020,ACCESS,0
29/10/2020,ACCESS,0
28/10/2020,ACCESS,0
27/10/2020,ACCESS,0
26/10/2020,ACCESS,0
23/10/2020,ACCESS,0
22/10/2020,ACCESS,0
21/10/2020,ACCESS,0
20/10/2020,ACCESS,0
19/10/2020,ACCESS,0
16/10/2020,ACCESS,0
15/10/2020,ACCESS,0
14/10/2020,ACCESS,0
13/10/2020,ACCESS,0
12/10/2020,ACCESS,0
9/10/2020,ACCESS,0
